Date,VesselID,Port,Region,VesselType,CargoVolume_Tons,PredictedDelay_Min,ActualDelay_Min,DwellTime_Hours,FuelConsumption_Tons,OnTime
2025-01-05,V1038,Cochin,South,Tanker,2285.8,0.0,2.2,23.1,37.0,True
2025-01-05,V1039,Cochin,South,Container,1633.6,32.6,43.0,16.0,30.6,False
2025-01-05,V1040,Visakhapatnam,East,Bulk Carrier,1569.1,64.1,69.0,23.5,40.9,False
2025-01-05,V1041,Visakhapatnam,East,Bulk Carrier,1313.1,73.1,85.4,15.1,34.6,False
2025-01-06,V1042,Chennai,South,Ro-Ro,1946.5,31.1,40.4,17.6,43.0,False
2025-01-07,V1043,Kandla,West,Tanker,5737.8,56.0,38.8,18.1,100.1,False
2025-01-07,V1044,Cochin,South,General Cargo,3421.8,25.0,17.8,15.7,80.9,True
2025-01-07,V1045,Chennai,South,Tanker,8509.9,59.7,44.8,6.3,176.9,False
2025-01-07,V1046,Mumbai,West,Bulk Carrier,2954.2,27.0,19.6,15.0,45.3,True
2025-01-07,V1047,Mumbai,West,Tanker,3954.3,5.3,15.5,13.8,111.4,True
2025-01-08,V1048,Kandla,West,Tanker,2938.9,33.7,31.3,24.6,77.3,False
2025-01-08,V1049,Mumbai,West,Bulk Carrier,4620.3,52.6,52.9,16.1,70.1,False
2025-01-08,V1050,Visakhapatnam,East,Tanker,3470.0,28.1,26.5,21.6,75.4,True
2025-01-08,V1051,Chennai,South,Ro-Ro,5725.3,0.0,0.0,22.7,153.7,True
2025-01-08,V1052,Kandla,West,Ro-Ro,3432.4,19.7,8.9,13.9,97.2,True
2025-01-08,V1053,Chennai,South,Tanker,4064.0,0.0,0.0,14.6,67.1,True
2025-01-08,V1054,Chennai,South,Bulk Carrier,2553.0,26.1,20.0,19.4,76.1,True
2025-01-08,V1055,Cochin,South,General Cargo,2210.2,0.0,0.0,16.7,51.7,True
2025-01-08,V1056,Visakhapatnam,East,Tanker,3267.3,41.4,39.5,12.0,72.0,False
2025-01-09,V1057,Cochin,South,General Cargo,4224.0,51.8,61.0,18.5,81.5,False
2025-01-09,V1058,Kandla,West,General Cargo,3421.5,11.4,16.9,23.9,55.1,True
2025-01-10,V1059,Kandla,West,Tanker,1376.1,17.2,28.9,22.7,30.2,True
2025-01-10,V1060,Chennai,South,Bulk Carrier,979.4,45.8,24.1,20.2,24.8,True
2025-01-10,V1061,Visakhapatnam,East,Ro-Ro,4659.9,38.5,56.3,17.2,73.1,False
2025-01-10,V1062,Mumbai,West,Container,3835.9,18.2,14.8,11.4,113.3,True
2025-01-10,V1063,Mumbai,West,Bulk Carrier,621.2,26.9,30.2,12.6,9.8,False
2025-01-10,V1064,Cochin,South,Bulk Carrier,6663.4,26.5,30.1,19.9,184.9,False
2025-01-10,V1065,Cochin,South,Ro-Ro,1458.7,12.2,0.0,21.2,35.4,True
2025-01-10,V1066,Visakhapatnam,East,Container,3735.5,0.0,0.0,30.3,85.2,True
2025-01-10,V1067,Kandla,West,Ro-Ro,5404.2,24.2,38.1,19.0,91.9,False
2025-01-11,V1068,Visakhapatnam,East,Ro-Ro,1652.0,46.5,25.4,5.8,33.4,True
2025-01-11,V1069,Visakhapatnam,East,Tanker,6977.6,57.6,58.4,9.7,204.0,False
2025-01-11,V1070,Visakhapatnam,East,Container,4007.1,0.0,0.0,17.8,79.9,True
2025-01-11,V1071,Cochin,South,Container,3973.0,0.0,8.0,12.4,80.2,True
2025-01-12,V1072,Cochin,South,General Cargo,3119.0,6.7,0.0,11.8,63.8,True
2025-01-12,V1073,Kolkata,East,Tanker,2235.0,69.1,69.5,19.3,64.4,False
2025-01-12,V1074,Mumbai,West,Tanker,4475.6,17.2,14.5,22.5,81.2,True
2025-01-12,V1075,Kandla,West,Bulk Carrier,1317.0,13.1,0.0,26.2,34.5,True
2025-01-12,V1076,Kandla,West,Container,11958.0,34.4,38.1,24.7,259.6,False
2025-01-13,V1077,Cochin,South,Tanker,2138.8,0.0,0.0,15.9,51.1,True
2025-01-13,V1078,Visakhapatnam,East,Bulk Carrier,2011.3,46.4,54.2,18.0,47.9,False
2025-01-13,V1079,Visakhapatnam,East,Container,2675.4,9.0,28.0,14.0,66.1,True
2025-01-13,V1080,Cochin,South,Tanker,3348.0,0.0,11.3,18.8,55.3,True
2025-01-14,V1081,Cochin,South,General Cargo,4626.1,0.0,0.0,20.3,129.5,True
2025-01-14,V1082,Visakhapatnam,East,Bulk Carrier,4780.5,17.9,11.0,21.2,111.6,True
2025-01-14,V1083,Chennai,South,Tanker,4327.8,25.2,5.2,14.6,92.5,True
2025-01-15,V1084,Chennai,South,General Cargo,1622.0,0.0,0.0,17.1,27.6,True
2025-01-15,V1085,Visakhapatnam,East,Container,2402.3,9.8,21.9,24.6,57.5,True
2025-01-15,V1086,Visakhapatnam,East,Tanker,2108.4,39.3,9.6,19.0,37.4,True
2025-01-15,V1087,Kandla,West,Container,3038.9,22.2,23.3,17.3,81.8,True
2025-01-15,V1088,Mumbai,West,Tanker,2609.3,22.8,17.0,21.3,59.6,True
2025-01-16,V1089,Kolkata,East,Bulk Carrier,7114.3,45.9,46.1,16.6,164.7,False
2025-01-16,V1090,Mumbai,West,Bulk Carrier,4814.7,40.6,43.4,19.0,96.4,False
2025-01-16,V1091,Visakhapatnam,East,Container,2634.8,34.2,38.3,23.8,70.7,False
2025-01-16,V1092,Mumbai,West,Ro-Ro,2041.4,22.1,16.5,27.1,57.5,True
2025-01-16,V1093,Mumbai,West,General Cargo,2496.8,30.1,42.5,25.7,43.1,False
2025-01-16,V1094,Chennai,South,Bulk Carrier,1952.2,8.9,18.0,26.3,45.2,True
2025-01-16,V1095,Cochin,South,Ro-Ro,1586.2,45.2,35.9,19.0,33.3,False
2025-01-17,V1096,Visakhapatnam,East,Bulk Carrier,4425.4,40.9,62.3,13.3,104.6,False
2025-01-17,V1097,Kolkata,East,General Cargo,7736.7,31.8,15.7,12.1,230.3,True
2025-01-17,V1098,Visakhapatnam,East,Ro-Ro,4287.8,16.9,47.3,17.1,116.0,False
2025-01-17,V1099,Chennai,South,General Cargo,1538.8,9.3,19.6,10.2,33.5,True
2025-01-17,V1100,Cochin,South,Bulk Carrier,2894.4,13.5,0.0,16.4,61.6,True
2025-01-17,V1101,Cochin,South,Tanker,7622.1,14.2,22.6,24.8,190.2,True
2025-01-18,V1102,Kandla,West,Tanker,2264.6,20.0,21.9,18.9,41.1,True
2025-01-18,V1103,Kandla,West,General Cargo,10005.8,17.1,19.0,11.4,266.5,True
2025-01-18,V1104,Kandla,West,Container,857.8,54.7,22.8,10.6,14.9,True
2025-01-18,V1105,Chennai,South,Bulk Carrier,3048.4,27.2,24.2,21.2,75.2,True
2025-01-19,V1106,Mumbai,West,Tanker,4706.5,43.4,58.7,11.2,77.9,False
2025-01-19,V1107,Mumbai,West,General Cargo,1610.1,6.9,12.8,22.3,30.0,True
2025-01-20,V1108,Visakhapatnam,East,Bulk Carrier,1589.5,0.0,21.2,13.1,37.9,True
2025-01-20,V1109,Visakhapatnam,East,Bulk Carrier,5948.5,38.9,22.0,5.0,115.5,True
2025-01-20,V1110,Mumbai,West,Container,2754.6,44.3,43.9,26.1,52.4,False
2025-01-20,V1111,Cochin,South,Container,2338.8,73.9,81.9,15.5,69.6,False
2025-01-20,V1112,Chennai,South,Container,1213.0,0.0,1.2,21.3,30.0,True
2025-01-20,V1113,Mumbai,West,Tanker,6954.7,8.3,14.6,27.4,122.6,True
2025-01-20,V1114,Mumbai,West,General Cargo,4006.2,16.0,25.7,3.8,70.1,True
2025-01-20,V1115,Chennai,South,Tanker,1393.9,11.3,13.7,21.5,26.9,True
2025-01-21,V1116,Cochin,South,Ro-Ro,9970.3,5.6,7.1,17.4,264.8,True
2025-01-21,V1117,Chennai,South,General Cargo,2333.1,19.1,40.4,28.9,63.7,False
2025-01-21,V1118,Chennai,South,General Cargo,4491.8,35.8,47.5,8.6,73.5,False
2025-01-21,V1119,Visakhapatnam,East,Ro-Ro,3615.8,18.1,25.6,10.0,94.0,True
2025-01-21,V1120,Chennai,South,Ro-Ro,4955.9,34.0,47.0,20.8,110.7,False
2025-01-21,V1121,Kandla,West,Bulk Carrier,3790.5,30.7,33.2,10.3,58.8,False
2025-01-21,V1122,Mumbai,West,Container,3232.3,0.0,12.6,22.1,89.4,True
2025-01-21,V1123,Cochin,South,Ro-Ro,3468.4,43.5,37.3,15.2,58.3,False
2025-01-22,V1124,Kolkata,East,Ro-Ro,2301.0,30.3,7.2,24.3,65.1,True
2025-01-22,V1125,Kandla,West,Ro-Ro,4688.5,0.0,7.0,18.3,140.5,True
2025-01-22,V1126,Cochin,South,Container,2497.0,50.6,42.4,3.1,70.2,False
2025-01-22,V1127,Cochin,South,Container,2013.0,0.0,0.0,22.8,40.9,True
2025-01-23,V1128,Mumbai,West,Ro-Ro,1777.5,0.0,0.0,22.1,47.6,True
2025-01-23,V1129,Cochin,South,Tanker,9095.4,15.9,5.9,14.0,271.7,True
2025-01-23,V1130,Mumbai,West,Bulk Carrier,1266.5,49.2,68.6,18.4,23.2,False
2025-01-24,V1131,Chennai,South,Bulk Carrier,2063.4,55.5,48.7,20.8,37.9,False
2025-01-24,V1132,Visakhapatnam,East,Ro-Ro,6749.9,25.1,6.9,28.8,190.1,True
2025-01-24,V1133,Chennai,South,Ro-Ro,3817.6,4.7,0.0,20.0,88.8,True
2025-01-24,V1134,Chennai,South,Tanker,1448.0,15.6,6.0,13.6,32.5,True
2025-01-24,V1135,Kandla,West,Bulk Carrier,3271.8,7.1,9.7,25.1,78.2,True
2025-01-24,V1136,Mumbai,West,Ro-Ro,4620.2,7.8,20.3,29.1,130.2,True
2025-01-25,V1137,Visakhapatnam,East,Container,5846.5,15.8,17.6,13.1,159.4,True
2025-01-25,V1138,Mumbai,West,General Cargo,3640.4,20.7,36.1,18.3,68.8,False
2025-01-25,V1139,Mumbai,West,Container,2797.5,36.1,62.1,19.3,64.7,False
2025-01-25,V1140,Chennai,South,Bulk Carrier,4462.4,17.6,21.0,19.1,129.7,True
2025-01-25,V1141,Kandla,West,Ro-Ro,5517.6,8.8,11.2,11.8,130.9,True
2025-01-25,V1142,Kandla,West,Bulk Carrier,2427.5,49.9,31.6,20.3,37.3,False
2025-01-25,V1143,Kandla,West,Container,2432.7,59.1,58.3,29.3,72.9,False
2025-01-25,V1144,Chennai,South,Ro-Ro,4117.9,0.0,0.0,15.0,75.4,True
2025-01-25,V1145,Mumbai,West,Ro-Ro,1548.8,26.1,19.3,23.2,26.7,True
2025-01-25,V1146,Kolkata,East,Ro-Ro,7615.1,36.3,35.1,11.6,145.5,False
2025-01-25,V1147,Kolkata,East,Ro-Ro,2901.5,18.9,21.8,20.1,44.9,True
2025-01-25,V1148,Cochin,South,General Cargo,3160.4,0.0,17.3,24.7,56.2,True
2025-01-25,V1149,Cochin,South,Ro-Ro,4382.5,28.6,34.0,20.7,106.9,False
2025-01-26,V1150,Chennai,South,Bulk Carrier,2266.2,17.8,35.0,28.8,50.7,False
2025-01-26,V1151,Kolkata,East,Bulk Carrier,4971.1,23.2,15.0,14.1,108.5,True
2025-01-26,V1152,Mumbai,West,General Cargo,1253.8,8.7,0.0,22.6,35.0,True
2025-01-27,V1153,Cochin,South,General Cargo,6628.1,19.9,6.0,23.3,100.4,True
2025-01-27,V1154,Mumbai,West,Tanker,2892.1,25.2,0.7,13.9,46.8,True
2025-01-27,V1155,Mumbai,West,Container,7468.7,0.0,0.0,21.8,134.5,True
2025-01-28,V1156,Visakhapatnam,East,Ro-Ro,4025.2,65.3,69.6,22.1,80.9,False
2025-01-28,V1157,Visakhapatnam,East,General Cargo,2970.5,22.9,34.3,25.9,68.0,False
2025-01-28,V1158,Chennai,South,Container,1822.3,10.8,13.2,14.8,45.3,True
2025-01-28,V1159,Visakhapatnam,East,Container,1938.8,94.1,93.0,22.5,57.4,False
2025-01-29,V1160,Chennai,South,Container,4036.9,13.6,0.0,21.9,86.3,True
2025-01-29,V1161,Visakhapatnam,East,Container,3702.1,0.0,0.0,24.3,95.8,True
2025-01-29,V1162,Cochin,South,Bulk Carrier,3011.4,47.0,46.5,23.3,71.9,False
2025-01-29,V1163,Kandla,West,Container,2335.1,56.9,73.5,20.4,66.9,False
2025-01-30,V1164,Visakhapatnam,East,Bulk Carrier,752.9,16.1,28.8,19.4,13.1,True
2025-01-30,V1165,Visakhapatnam,East,General Cargo,4895.9,29.4,28.3,10.5,130.2,True
2025-01-30,V1166,Mumbai,West,General Cargo,846.1,0.0,0.0,19.5,18.2,True
2025-01-30,V1167,Mumbai,West,Ro-Ro,2055.8,36.2,19.5,21.1,32.0,True
2025-01-30,V1168,Cochin,South,General Cargo,5866.7,41.2,55.8,17.5,139.5,False
2025-01-30,V1169,Visakhapatnam,East,General Cargo,2768.1,12.4,17.0,14.7,63.6,True
2025-01-31,V1170,Kolkata,East,Tanker,2385.8,15.3,20.6,18.1,71.1,True
2025-01-31,V1171,Chennai,South,Tanker,3075.1,23.5,28.9,24.5,68.7,True
2025-01-31,V1172,Chennai,South,Tanker,1932.5,0.0,4.8,21.9,57.1,True
2025-02-01,V1173,Kandla,West,Bulk Carrier,5253.3,19.2,43.3,19.8,81.2,False
2025-02-01,V1174,Cochin,South,Tanker,1770.6,24.9,30.3,22.0,37.0,False
2025-02-01,V1175,Kandla,West,Tanker,5353.0,0.7,4.3,16.5,125.8,True
2025-02-01,V1176,Mumbai,West,Container,1164.8,34.1,38.4,12.4,31.6,False
2025-02-01,V1177,Kandla,West,General Cargo,6059.1,38.0,45.7,16.4,140.4,False
2025-02-01,V1178,Visakhapatnam,East,Container,1997.5,0.0,0.0,27.3,37.1,True
2025-02-01,V1179,Mumbai,West,General Cargo,3601.2,0.0,0.0,13.8,87.5,True
2025-02-02,V1180,Chennai,South,General Cargo,6470.2,0.0,0.0,7.1,156.1,True
2025-02-02,V1181,Kolkata,East,Bulk Carrier,2883.4,37.0,43.9,20.4,45.9,False
2025-02-02,V1182,Kolkata,East,Container,3242.3,15.3,21.9,12.3,62.5,True
2025-02-02,V1183,Chennai,South,Tanker,979.9,44.3,36.9,20.4,25.2,False
2025-02-02,V1184,Kolkata,East,Bulk Carrier,3074.0,4.9,0.0,17.0,54.5,True
2025-02-03,V1185,Kandla,West,General Cargo,4182.0,5.5,6.3,18.8,114.1,True
2025-02-03,V1186,Cochin,South,Tanker,4238.1,12.9,17.7,10.2,117.0,True
2025-02-03,V1187,Visakhapatnam,East,General Cargo,4762.4,13.1,22.1,13.8,130.2,True
2025-02-03,V1188,Mumbai,West,General Cargo,3730.2,65.5,55.6,13.3,88.8,False
2025-02-03,V1189,Kolkata,East,Container,2726.6,33.1,24.3,20.7,41.9,True
2025-02-03,V1190,Chennai,South,Tanker,1296.7,50.6,70.1,19.6,31.0,False
2025-02-03,V1191,Mumbai,West,Container,4067.2,27.9,27.8,13.4,87.1,True
2025-02-04,V1192,Cochin,South,General Cargo,2388.8,0.0,0.0,16.8,38.3,True
2025-02-04,V1193,Chennai,South,Tanker,5414.9,4.5,12.9,18.7,124.5,True
2025-02-04,V1194,Kolkata,East,General Cargo,4648.5,0.0,0.0,29.7,102.2,True
2025-02-04,V1195,Chennai,South,Tanker,1870.2,22.4,14.2,21.8,30.8,True
2025-02-04,V1196,Chennai,South,Tanker,6122.0,59.6,55.9,10.7,177.0,False
2025-02-04,V1197,Visakhapatnam,East,Ro-Ro,3427.4,6.7,0.0,22.7,78.2,True
2025-02-04,V1198,Kolkata,East,Container,2471.9,1.3,4.0,20.2,66.1,True
2025-02-05,V1199,Mumbai,West,Ro-Ro,3452.5,2.4,0.0,22.2,72.3,True
2025-02-05,V1200,Kolkata,East,Container,4961.3,73.9,60.3,18.2,148.3,False
2025-02-05,V1201,Mumbai,West,Tanker,2600.4,10.4,15.9,25.0,72.9,True
2025-02-06,V1202,Chennai,South,Tanker,3387.9,0.0,15.8,19.0,57.6,True
2025-02-06,V1203,Chennai,South,Ro-Ro,2301.2,81.6,78.0,21.2,48.3,False
2025-02-06,V1204,Visakhapatnam,East,Ro-Ro,4254.7,10.7,0.0,18.3,83.7,True
2025-02-06,V1205,Visakhapatnam,East,Container,3812.7,0.0,3.5,13.2,92.6,True
2025-02-06,V1206,Mumbai,West,Container,2249.8,0.0,5.0,17.6,35.7,True
2025-02-07,V1207,Cochin,South,Bulk Carrier,3327.1,27.6,20.0,13.6,90.5,True
2025-02-07,V1208,Visakhapatnam,East,Container,4237.9,0.0,10.9,31.7,71.9,True
2025-02-07,V1209,Kolkata,East,General Cargo,2500.9,16.8,28.7,11.0,68.6,True
2025-02-07,V1210,Visakhapatnam,East,Bulk Carrier,3248.8,42.0,51.1,17.0,49.7,False
2025-02-07,V1211,Kandla,West,Bulk Carrier,3491.2,41.6,32.0,11.3,53.0,False
2025-02-08,V1212,Mumbai,West,Tanker,5750.4,0.0,0.0,12.8,118.7,True
2025-02-08,V1213,Kolkata,East,Container,3815.7,0.0,0.0,19.2,102.3,True
2025-02-08,V1214,Kolkata,East,Bulk Carrier,1240.1,48.6,35.1,15.6,19.3,False
2025-02-08,V1215,Cochin,South,Bulk Carrier,6376.7,17.8,28.8,25.3,156.5,True
2025-02-08,V1216,Cochin,South,Container,1643.3,4.0,6.0,18.4,37.3,True
2025-02-08,V1217,Kolkata,East,General Cargo,3725.4,14.3,15.4,15.3,59.9,True
2025-02-08,V1218,Kandla,West,General Cargo,1881.7,0.0,15.6,10.0,46.9,True
2025-02-09,V1219,Cochin,South,Bulk Carrier,4460.8,0.5,11.0,25.9,80.7,True
2025-02-09,V1220,Chennai,South,Bulk Carrier,4534.0,27.0,15.9,25.3,70.9,True
2025-02-09,V1221,Chennai,South,Ro-Ro,4759.4,56.4,78.0,21.6,80.5,False
2025-02-10,V1222,Mumbai,West,Bulk Carrier,3858.6,14.5,11.1,22.9,105.1,True
2025-02-10,V1223,Cochin,South,Tanker,2889.7,15.8,19.2,27.6,74.9,True
2025-02-10,V1224,Kandla,West,Bulk Carrier,3621.9,36.6,50.7,10.2,105.3,False
2025-02-10,V1225,Kolkata,East,Bulk Carrier,2470.3,30.0,22.2,21.5,68.2,True
2025-02-10,V1226,Cochin,South,Container,3732.5,27.7,48.1,33.6,87.6,False
2025-02-10,V1227,Kandla,West,Container,6059.1,38.8,43.4,22.0,132.8,False
2025-02-10,V1228,Kandla,West,Bulk Carrier,2397.2,14.8,4.6,21.5,62.3,True
2025-02-10,V1229,Chennai,South,Ro-Ro,5821.6,0.0,5.3,14.3,87.8,True
2025-02-11,V1230,Kolkata,East,Tanker,4708.0,0.0,0.0,15.8,96.6,True
2025-02-11,V1231,Chennai,South,Bulk Carrier,3702.6,63.2,58.4,23.6,78.5,False
2025-02-11,V1232,Mumbai,West,Bulk Carrier,2437.4,0.0,15.2,33.3,38.9,True
2025-02-11,V1233,Kandla,West,Tanker,8280.2,58.6,82.6,25.3,224.2,False
2025-02-11,V1234,Kolkata,East,Container,2081.2,39.5,32.8,18.0,41.7,False
2025-02-12,V1235,Kolkata,East,Tanker,4510.9,17.9,16.5,11.9,110.7,True
2025-02-12,V1236,Cochin,South,General Cargo,3771.8,66.4,62.2,15.8,88.9,False
2025-02-12,V1237,Kandla,West,General Cargo,3938.0,47.2,32.2,18.8,76.7,False
2025-02-12,V1238,Kolkata,East,Container,2975.3,0.0,12.4,21.1,65.1,True
2025-02-12,V1239,Mumbai,West,Tanker,3211.8,6.7,0.0,17.8,69.2,True
2025-02-12,V1240,Chennai,South,General Cargo,4830.8,64.3,75.1,12.0,126.9,False
2025-02-12,V1241,Kolkata,East,Container,3513.9,27.5,31.8,17.4,66.5,False
2025-02-13,V1242,Mumbai,West,General Cargo,3275.9,14.9,8.6,3.5,66.2,True
2025-02-13,V1243,Kandla,West,Tanker,3452.8,42.1,45.1,8.6,89.6,False
2025-02-13,V1244,Cochin,South,Tanker,4376.9,6.8,0.0,20.8,105.6,True
2025-02-13,V1245,Kandla,West,General Cargo,2786.0,19.1,9.4,13.6,77.3,True
2025-02-13,V1246,Visakhapatnam,East,Container,10346.2,0.0,12.2,20.6,165.7,True
2025-02-13,V1247,Kandla,West,General Cargo,7509.8,37.3,41.9,11.6,131.3,False
2025-02-13,V1248,Chennai,South,Tanker,8117.4,0.0,0.0,21.7,129.3,True
2025-02-14,V1249,Mumbai,West,Ro-Ro,2496.2,71.4,62.9,18.7,45.1,False
2025-02-14,V1250,Mumbai,West,General Cargo,4262.1,60.6,56.3,23.3,98.4,False
2025-02-14,V1251,Visakhapatnam,East,Bulk Carrier,3290.7,18.1,6.4,15.4,87.6,True
2025-02-14,V1252,Kolkata,East,Ro-Ro,3658.0,48.7,26.7,29.2,98.7,True
2025-02-14,V1253,Mumbai,West,Tanker,2980.3,47.0,56.2,20.9,80.2,False
2025-02-15,V1254,Visakhapatnam,East,Tanker,4085.2,0.0,0.0,13.6,115.4,True
2025-02-15,V1255,Cochin,South,Container,6381.1,25.1,25.4,19.6,159.6,True
2025-02-15,V1256,Cochin,South,Tanker,4094.5,18.9,6.1,10.9,62.2,True
2025-02-15,V1257,Visakhapatnam,East,Tanker,10076.8,13.6,27.9,13.2,280.9,True
2025-02-15,V1258,Cochin,South,Ro-Ro,6131.3,34.9,36.9,16.2,167.5,False
2025-02-15,V1259,Kolkata,East,Ro-Ro,2359.4,0.0,0.0,15.0,41.5,True
2025-02-16,V1260,Cochin,South,Tanker,892.4,44.8,36.9,25.3,18.1,False
2025-02-16,V1261,Visakhapatnam,East,Bulk Carrier,5893.7,58.0,56.8,12.6,148.2,False
2025-02-16,V1262,Chennai,South,Ro-Ro,1720.1,28.1,42.4,19.7,31.7,False
2025-02-16,V1263,Cochin,South,Ro-Ro,4829.5,13.5,7.4,18.8,94.6,True
2025-02-17,V1264,Cochin,South,Bulk Carrier,3619.3,68.5,74.6,22.3,90.4,False
2025-02-17,V1265,Visakhapatnam,East,General Cargo,2901.4,36.7,41.6,12.2,63.0,False
2025-02-18,V1266,Kolkata,East,Ro-Ro,3639.3,23.8,27.7,15.4,104.3,True
2025-02-18,V1267,Visakhapatnam,East,Container,4478.2,38.8,47.6,23.3,86.1,False
2025-02-18,V1268,Kolkata,East,Tanker,7589.7,6.8,11.2,6.7,182.0,True
2025-02-18,V1269,Chennai,South,Ro-Ro,1780.6,12.6,0.0,20.6,42.6,True
2025-02-18,V1270,Visakhapatnam,East,General Cargo,3017.5,42.5,41.2,18.5,90.3,False
2025-02-18,V1271,Cochin,South,Tanker,5734.6,8.3,9.2,20.1,95.9,True
2025-02-18,V1272,Kandla,West,Ro-Ro,4241.1,49.1,60.8,21.9,91.0,False
2025-02-19,V1273,Kandla,West,Bulk Carrier,3352.3,87.2,75.6,31.0,98.1,False
2025-02-19,V1274,Visakhapatnam,East,Ro-Ro,4469.2,15.6,33.4,14.3,84.1,False
2025-02-19,V1275,Cochin,South,Bulk Carrier,770.2,24.9,19.6,15.4,22.8,True
2025-02-19,V1276,Cochin,South,Container,865.2,2.7,0.0,9.0,15.7,True
2025-02-19,V1277,Kolkata,East,General Cargo,3311.9,39.0,36.5,16.1,89.5,False
2025-02-19,V1278,Cochin,South,General Cargo,10598.1,1.2,7.0,17.0,172.8,True
2025-02-19,V1279,Kolkata,East,Container,3785.0,36.8,26.1,24.5,84.8,True
2025-02-19,V1280,Chennai,South,Tanker,2297.9,20.5,15.7,7.2,65.8,True
2025-02-19,V1281,Chennai,South,Bulk Carrier,6705.0,0.0,9.3,15.1,126.5,True
2025-02-19,V1282,Chennai,South,Container,2349.9,23.7,25.4,16.4,51.3,True
2025-02-20,V1283,Mumbai,West,Bulk Carrier,2301.8,0.0,0.0,25.4,47.0,True
2025-02-20,V1284,Kandla,West,General Cargo,3332.6,48.9,47.7,19.2,93.7,False
2025-02-20,V1285,Mumbai,West,Ro-Ro,3963.0,39.0,31.6,18.4,67.9,False
2025-02-20,V1286,Kandla,West,General Cargo,2954.2,1.4,1.0,34.1,46.3,True
2025-02-21,V1287,Chennai,South,Ro-Ro,1750.2,7.9,0.0,26.4,47.8,True
2025-02-21,V1288,Kandla,West,Ro-Ro,2243.7,13.7,0.0,25.8,57.4,True
